Time (s),Position 1 (m),Position 2 (m)
0.05,-0.081720551,0.101528
0.1,-0.083092551,0.0972405
0.15,-0.076232551,0.084378
0.2,-0.062341051,0.064827
0.25,-0.042104051,0.039788
0.3,-0.018265551,0.0128625
0.35,0.007630949,-0.016464
0.4,0.028725449,-0.044933
0.45,0.048619449,-0.0684285
0.5,0.063711449,-0.084721
0.55,0.079146449,-0.09604
0.6,0.085320449,-0.098784
0.65,0.078288949,-0.0927815
0.7,0.060967449,-0.079576
0.75,0.042445449,-0.0625975
0.8,0.021693949,-0.040817
0.85,0.004029449,-0.014406
0.9,-0.026497551,0.012005
0.95,-0.050679051,0.0361865
1,-0.072459551,0.055909
1.05,-0.088237551,0.0701435
1.1,-0.096812551,0.0770035
1.15,-0.097498551,0.076146
1.2,-0.089952551,0.068257
1.25,-0.075203551,0.053508
1.3,-0.054109051,0.033957
1.35,-0.028898551,0.0104615
1.4,0.001456949,-0.0118335
1.45,0.022894449,-0.0358435
1.5,0.045703949,-0.0564235
1.55,0.064740449,-0.070658
1.6,0.086692449,-0.0800905
1.65,0.095095949,-0.0800905
1.7,0.095438949,-0.0766605
1.75,0.087721449,-0.0646555
1.8,0.066455449,-0.049392
1.85,0.046046949,-0.027097
1.9,0.025466949,-0.002058
1.95,0.005572949,0.0231525
2,-0.020838051,0.046305
2.05,-0.043819051,0.0649985
2.1,-0.062341051,0.078547
2.15,-0.075546551,0.084721
2.2,-0.081549051,0.0838635
2.25,-0.080177051,0.07546
2.3,-0.071945051,0.0605395
2.35,-0.056681551,0.039445
2.4,-0.037816551,0.015092
2.45,-0.014835551,-0.009947
2.5,0.008659949,-0.0361865
2.55,0.027010449,-0.0598535
2.6,0.043988949,-0.077861
2.65,0.055479449,-0.0890085
2.7,0.064225949,-0.095354
2.75,0.068856449,-0.093639
2.8,0.061138949,-0.0855785
2.85,0.052220949,-0.072373
2.9,0.038329449,-0.0547085
2.95,0.017920949,-0.0306985
3,0.001456949,-0.004802
3.05,-0.024954051,0.02058
3.1,-0.045362551,0.043218
3.15,-0.062341051,0.0612255
3.2,-0.074346051,0.0735735
3.25,-0.079662551,0.0794045
3.3,-0.078119051,0.077518
3.35,-0.069544051,0.0691145
3.4,-0.052565551,0.054537
3.45,-0.034901051,0.034986
3.5,-0.011405551,0.012691
3.55,0.012261449,-0.0087465
3.6,0.030783449,-0.03087
3.65,0.051191949,-0.050078
3.7,0.068513449,-0.0636265
3.75,0.083605449,-0.0725445
3.8,0.088407449,-0.074431
3.85,0.085491949,-0.070315
3.9,0.072629449,-0.060368
3.95,0.053592949,-0.046991
4,0.039186949,-0.027097
4.05,0.016034449,-0.0056595
4.1,-0.002830551,0.016121
4.15,-0.030099051,0.0358435
4.2,-0.049135551,0.052136
4.25,-0.068343551,0.063112
4.3,-0.079491051,0.067914
4.35,-0.083778551,0.065856
4.4,-0.081206051,0.0574525
4.45,-0.071773551,0.043218
4.5,-0.054623551,0.024353
4.55,-0.037473551,0.004459
4.6,-0.015178551,-0.018522
4.65,0.007459449,-0.0409885
4.7,0.024780949,-0.060368
4.75,0.040730449,-0.0746025
4.8,0.052220949,-0.081977
4.85,0.060281449,-0.0848925
4.9,0.063025449,-0.083006
4.95,0.058737949,-0.0728875
5,0.048962449,-0.057624
5.05,0.037471949,-0.039102
5.1,0.021179449,-0.015778
5.15,0.005401449,0.008232
5.2,-0.015521551,0.031556
5.25,-0.034558051,0.05145
5.3,-0.047077551,0.067228
5.35,-0.057710551,0.077175
5.4,-0.064399051,0.0800905
5.45,-0.062684051,0.0766605
5.5,-0.053080051,0.066542
5.55,-0.042790051,0.051107
5.6,-0.024954051,0.0310415
5.65,-0.002316051,0.0090895
5.7,0.012775949,-0.0118335
5.75,0.032155449,-0.033614
5.8,0.046732949,-0.052479
5.85,0.057365949,-0.065513
5.9,0.068170449,-0.073745
5.95,0.070571449,-0.0759745
