FFT: Time - Frequency (Hz),FFT: Acceleration 2 - FFT,FFT 2: Acceleration 1 - FFT
0,0.357675426,0.297425977
0.01953125,0.364979744,0.313040375
0.0390625,0.215174281,0.188303912
0.05859375,0.024894975,0.021870775
0.078125,0.017697814,0.01566816
0.09765625,0.006212063,0.00489839
0.1171875,0.00153447,0.000311022
0.13671875,0.003045197,0.003675949
0.15625,0.000771237,0.002591875
0.17578125,0.001455807,0.001998033
0.1953125,0.001898291,0.002110655
0.21484375,0.000723358,0.001159509
0.234375,0.002533409,0.001884802
0.25390625,0.002578646,0.001604853
0.2734375,0.00214619,0.00215772
0.29296875,0.003574363,0.00077423
0.3125,0.003098667,0.0015263
0.33203125,0.004144102,0.003685728
0.3515625,0.004844861,0.003640225
0.37109375,0.008377587,0.015363357
0.390625,0.014733317,0.031283854
0.41015625,0.018591027,0.029160495
0.4296875,0.015749728,0.002261097
0.44921875,0.010285271,0.013336492
0.46875,0.017941257,0.010994846
0.48828125,0.075874224,0.070932081
0.5078125,0.397843842,0.36846785
0.52734375,0.808428321,0.766158909
0.546875,0.814888223,0.78077127
0.56640625,0.359913701,0.348866606
0.5859375,0.051215376,0.034451733
0.60546875,0.085254111,0.064020061
0.625,0.01353172,0.010314172
0.64453125,0.01338427,0.018079865
0.6640625,0.013803296,0.011291941
0.68359375,0.015095116,0.011498777
0.703125,0.022761003,0.031838314
0.72265625,0.014738005,0.017418217
0.7421875,0.013470667,0.03323899
0.76171875,0.049486335,0.016895448
0.78125,0.029955137,0.090773286
0.80078125,0.039151716,0.073487303
0.8203125,0.057485152,0.042955573
0.83984375,0.162831388,0.159009663
0.859375,0.313190896,0.246493461
0.87890625,0.933083966,0.821593291
0.8984375,5.047983158,4.683122935
0.91796875,12.28641714,11.45991658
0.9375,14.994945,14.0208612
0.95703125,9.539401047,8.936956413
0.9765625,2.401945039,2.264267235
0.99609375,0.473740979,0.42647528
1.015625,0.208726855,0.136946993
1.03515625,0.104011585,0.06560362
1.0546875,0.089832228,0.118322921
1.07421875,0.034670164,0.102490786
1.09375,0.00611253,0.053005769
1.11328125,0.044156717,0.047228251
1.1328125,0.020518026,0.048500721
1.15234375,0.017394848,0.056156726
1.171875,0.009592599,0.071128094
1.19140625,0.007662478,0.044968173
1.2109375,0.015681975,0.051442455
1.23046875,0.012634932,0.064058825
1.25,0.010449108,0.043719148
